cimc,type,hostName,dns1,dns2,ntp1,ntp2,vnicsAdd,uplinkPorts,pcieOrder,chassisSerial
172.20.106.41,ucs,sandbox-bm-esxi,172.16.10.100,172.20.1.254,172.20.1.254,172.16.20.253,eth8;eth9,Port-3;Port-4,2.0;2.1,
172.20.106.11,ocp,ocpm5-01,172.16.10.100,172.20.1.254,172.20.1.254,172.16.20.253,eth8;eth9,Port-3;Port-4,2.0;2.1,
172.20.106.12,ocp,ocpm5-02,172.16.10.100,172.20.1.254,172.20.1.254,172.16.20.253,eth8;eth9,Port-3;Port-4,2.0;2.1,
172.20.106.13,ocp,ocpm5-03,172.16.10.100,172.20.1.254,172.20.1.254,172.16.20.253,eth8;eth9,Port-3;Port-4,2.0;2.1,
172.20.106.21,ocp,ocp-aim7-01,172.16.10.100,172.20.1.254,172.20.1.254,172.16.20.253,eth8;eth9,Port-3;Port-4,2.0;2.1,
172.20.106.22,ocp,ocp-aim7-02,172.16.10.100,172.20.1.254,172.20.1.254,172.16.20.253,eth8;eth9,Port-3;Port-4,2.0;2.1,
172.20.106.23,ocp,ocp-aim7-03,172.16.10.100,172.20.1.254,172.20.1.254,172.16.20.253,eth8;eth9,Port-3;Port-4,2.0;2.1,
